GRB , RA , Dec , Err90 , #breaks , lc type , NH_gal , Redshift , Ave_NH_wt , Ave_dNH_Wt , Ave_Gamma_WT , Ave_dgamma_WT , Ave_obs_flux_WT , d_Ave_obs_flux_WT , Ave_unabs_flux_WT , Ave_NH_PC , Ave_dNH_PC , Ave_Gamma_PC , Ave_dgamma_PC , Ave_obs_flux_PC , d_Ave_obs_flux_PC , Ave_unabs_flux_PC , Flux_11 , Flux_24 , alpha_1 , D_alpha_1, break_1 , D_break_1 , NH_1 (wt) , D_NH_1 (wt) , NH_1 (pc) , D_NH_1 (pc) , Gamma_1 (wt) , D_Gamma_1 (wt) , Gamma_1 (pc) , D_Gamma_1 (pc) , Obs Flux_1 (wt) , D_Obs Flux_1 (wt) , Unabs Flux_1 (wt) , Obs Flux_1 (pc) , D_Obs Flux_1 (pc) , Unabs Flux_1 (pc) , alpha_2 , D_alpha_2, break_2 , D_break_2 , NH_2 (wt) , D_NH_2 (wt) , NH_2 (pc) , D_NH_2 (pc) , Gamma_2 (wt) , D_Gamma_2 (wt) , Gamma_2 (pc) , D_Gamma_2 (pc) , Obs Flux_2 (wt) , D_Obs Flux_2 (wt) , Unabs Flux_2 (wt) , Obs Flux_2 (pc) , D_Obs Flux_2 (pc) , Unabs Flux_2 (pc) , alpha_3 , D_alpha_3, break_3 , D_break_3 , NH_3 (wt) , D_NH_3 (wt) , NH_3 (pc) , D_NH_3 (pc) , Gamma_3 (wt) , D_Gamma_3 (wt) , Gamma_3 (pc) , D_Gamma_3 (pc) , Obs Flux_3 (wt) , D_Obs Flux_3 (wt) , Unabs Flux_3 (wt) , Obs Flux_3 (pc) , D_Obs Flux_3 (pc) , Unabs Flux_3 (pc) , alpha_4 , D_alpha_4, break_4 , D_break_4 , NH_4 (wt) , D_NH_4 (wt) , NH_4 (pc) , D_NH_4 (pc) , Gamma_4 (wt) , D_Gamma_4 (wt) , Gamma_4 (pc) , D_Gamma_4 (pc) , Obs Flux_4 (wt) , D_Obs Flux_4 (wt) , Unabs Flux_4 (wt) , Obs Flux_4 (pc) , D_Obs Flux_4 (pc) , Unabs Flux_4 (pc) , alpha_5 , D_alpha_5, break_5 , D_break_5 , NH_5 (wt) , D_NH_5 (wt) , NH_5 (pc) , D_NH_5 (pc) , Gamma_5 (wt) , D_Gamma_5 (wt) , Gamma_5 (pc) , D_Gamma_5 (pc) , Obs Flux_5 (wt) , D_Obs Flux_5 (wt) , Unabs Flux_5 (wt) , Obs Flux_5 (pc) , D_Obs Flux_5 (pc) , Unabs Flux_5 (pc) , alpha_6 , D_alpha_6, NH_6 (wt) , D_NH_6 (wt) , NH_6 (pc) , D_NH_6 (pc) , Gamma_6 (wt) , D_Gamma_6 (wt) , Gamma_6 (pc) , D_Gamma_6 (pc) , Obs Flux_6 (wt) , D_Obs Flux_6 (wt) , Unabs Flux_6 (wt) , Obs Flux_6 (pc) , D_Obs Flux_6 (pc) , Unabs Flux_6 (pc) 
060602A, N/A , N/A , N/A ,0, TBD ,2.72E-02, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,1.2," +1.2, -1.00",6.1," +11.2, -3.4",1.07E-14," +8.15E-15, -4.39E-15",3.11E-12,1.13E-13,5.45E-14,0.93," +1.1, -0.89", N/A ," , ", N/A ," , ",1.2," +1.2, -1.00", N/A ," , ",6.1," +11.2, -3.4", N/A ," , ", N/A ,1.07E-14," , ",3.11E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
60526,232.8264,0.28485,1.5,2, TBD ,6.32E-02,3.21,0.59," +0.25, -0.24",1.8," +3.36E-2, -3.32E-2",1.98E-09," +4.50E-11, -4.39E-11",2.28E-09,2.36E-08," +0.30, -2.36E-8",1.9," +8.63E-2, -8.27E-2",1.54E-12," +1.20E-13, -9.69E-14",1.75E-12,9.47E-13,2.43E-13,1.7," +0.47, -0.45",570," +978, -218",0.59," +0.25, -0.24",1.25E-17," +0.43, -1.25E-17",1.8," +3.36E-2, -3.32E-2",1.6," +0.21, -0.16",1.97E-09," +4.50E-11, -4.39E-11",2.28E-09,8.45E-11," +1.73E-11, -1.19E-11",9.15E-11,0.35," +0.11, -0.11",2.06E+04," +5604, -5145", N/A ," , ",1.26E-05," +0.37, -1.26E-5", N/A ," , ",2," +1.00E-1, -9.46E-2", N/A ," , ", N/A ,6.68E-12," +6.18E-13, -4.57E-13",7.72E-12,1.7," +0.21, -0.18", N/A ," , ", N/A ," , ",1.2," +4.7, -1.2", N/A ," , ",2," +0.41, -0.32", N/A ," , ", N/A ,7.81E-14," +2.04E-14, -1.65E-14",9.53E-14, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
60522,322.93691,2.88611,1.5,1, TBD ,4.90E-02,5.11,1.9," +5.2, -1.9",1.6," +0.22, -0.20",2.84E-10," +4.99E-11, -4.42E-11",3.10E-10,3.3," +3.3, -2.9",2.1," +0.18, -0.18",2.24E-12," +2.61E-13, -2.29E-13",2.79E-12,1.32E-13,5.43E-14,3.7," +0.72, -0.55",254," +33.7, -25.7",2.1," +5.3, -2.1",1.15E-05," +4.8, -1.15E-5",1.6," +0.23, -0.20",1.7," +0.32, -0.27",2.85E-10," +4.98E-11, -4.41E-11",3.11E-10,6.23E-11," +1.71E-11, -1.47E-11",6.71E-11,1.1," +5.26E-2, -4.76E-2", N/A ," , ", N/A ," , ",7.1," +5.1, -4.2", N/A ," , ",2.3," +0.25, -0.23", N/A ," , ", N/A ,1.69E-13," +2.42E-14, -2.11E-14",2.46E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
60515,127.28696,73.56725,4,0, TBD ,2.64E-02, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,2.29E-06," +0.10, -2.29E-6",1.6," +0.61, -0.23",3.17E-13," +9.48E-14, -1.01E-13",3.32E-13,1.46E-15,1.23E-16,3.2," +0.58, -0.50", N/A ," , ", N/A ," , ",2.29E-06," +0.10, -2.29E-6", N/A ," , ",1.6," +0.61, -0.23", N/A ," , ", N/A ,3.17E-13," , ",3.32E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
60512,195.77393,41.19084,1.4,0, TBD ,1.60E-02,0.4428,0.29," +0.16, -0.15",5.1," +0.84, -0.75",1.78E-10," +1.96E-11, -1.83E-11",8.72E-10,2.92E-06," +5.91E-2, -2.92E-6",2.6," +0.27, -7.91E-2",5.78E-13," +3.93E-14, -5.36E-14",6.20E-13,1.37E-13,5.17E-14,1.3," +3.06E-2, -2.97E-2", N/A ," , ",0.29," +0.16, -0.15",2.92E-06," +5.91E-2, -2.92E-6",5.1," +0.84, -0.75",2.6," +0.27, -7.91E-2",1.78E-10," , ",8.72E-10,5.78E-13," , ",6.20E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
060510B,239.12174,78.57042,1.4,2, TBD ,4.60E-02,4.9,4.9," +0.72, -0.67",1.2," +2.23E-2, -2.20E-2",4.20E-09," +7.03E-11, -6.98E-11",4.48E-09,1.1," +2.7, -1.1",2.1," +0.19, -0.16",2.04E-12," +2.39E-13, -2.16E-13",2.38E-12,1.24E-13,6.33E-14,-0.29," +0.64, -0.66",148," +4.2, -2.9",8," +4.4, -3.5", N/A ," , ",0.89," +8.05E-2, -7.74E-2", N/A ," , ",7.58E-09," +4.39E-10, -4.21E-10",7.93E-09, N/A ," , ", N/A ,3.2," +0.14, -0.12",1510," +284, -236",4.9," +0.74, -0.69",1.27E-04," +2.4, -1.27E-4",1.3," +2.35E-2, -2.31E-2",1.9," +0.18, -0.12",3.94E-09," +6.93E-11, -6.87E-11",4.22E-09,6.88E-11," +7.03E-12, -7.92E-12",7.61E-11,0.87," +8.32E-2, -7.51E-2", N/A ," , ", N/A ," , ",2.1," +5.4, -2.1", N/A ," , ",2.4," +0.43, -0.34", N/A ," , ", N/A ,4.78E-14," +1.08E-14, -8.85E-15",6.34E-14, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
060510A,95.8665,-1.16303,1.4,1, TBD ,0.5, N/A ,4.39E-16," +6.35E-2, -4.39E-16",3.5," +0.42, -0.26",1.73E-10," +2.76E-11, -2.22E-11",6.23E-10,5.94E-08," +5.73E-2, -5.94E-8",1.8," +9.35E-2, -5.13E-2",2.71E-11," +1.15E-12, -1.37E-12",3.90E-11,1.06E-11,3.26E-12,0.2," +5.65E-2, -5.79E-2",7095," +1071, -894",9.62E-20," +6.39E-2, -9.62E-20",1.95E-07," +8.95E-2, -1.95E-7",3.5," +0.42, -0.27",1.7," +0.14, -7.86E-2",1.64E-10," +2.61E-11, -2.10E-11",5.93E-10,2.30E-10," +1.52E-11, -1.74E-11",3.22E-10,1.5," +4.55E-2, -4.39E-2", N/A ," , ", N/A ," , ",1.70E-06," +5.66E-2, -1.70E-6", N/A ," , ",1.8," +0.10, -4.82E-2", N/A ," , ", N/A ,2.35E-12," +9.58E-14, -1.29E-13",3.47E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
60507,89.96142,75.24866,1.6,0, TBD ,0.14, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,2.64E-02," +5.07E-2, -2.64E-2",2," +0.16, -0.15",1.55E-12," +1.50E-13, -1.36E-13",2.03E-12,5.97E-13,2.78E-13,0.98," +4.02E-2, -3.99E-2", N/A ," , ", N/A ," , ",2.64E-02," +5.07E-2, -2.64E-2", N/A ," , ",2," +0.16, -0.15", N/A ," , ", N/A ,1.55E-12," , ",2.03E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
60505,331.76375,-27.81465,2.5,0, TBD ,1.84E-02,0.0894, N/A ," , ", N/A ," , ", N/A ," , ", N/A ,9.47E-02," +0.25, -9.47E-2",1.5," +0.58, -0.48",5.62E-13," +2.64E-13, -1.74E-13",6.16E-13,1.07E-12,2.66E-13,1.8," +0.53, -0.46", N/A ," , ", N/A ," , ",9.47E-02," +0.25, -9.47E-2", N/A ," , ",1.5," +0.58, -0.48", N/A ," , ", N/A ,5.62E-13," , ",6.16E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
060502B,278.93756,52.63113,7.8,0, TBD ,4.90E-02, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,0.2," +0.82, -0.20",2.6," +1.6, -1.3",1.91E-14," +2.21E-14, -1.06E-14",3.74E-14, N/A , N/A , N/A ," , ", N/A ," , ", N/A ," , ",0.2," +0.82, -0.20", N/A ," , ",2.6," +1.6, -1.3", N/A ," , ", N/A ,1.91E-14," , ",3.74E-14, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
060502A,240.92778,66.60064,1.5,2, TBD ,3.84E-02,1.51,0.72," +0.24, -0.22",3.4," +0.26, -0.22",3.71E-10," +2.54E-11, -2.45E-11",8.54E-10,0.42," +0.24, -0.22",2," +0.13, -0.12",8.79E-12," +7.31E-13, -6.62E-13",1.06E-11,2.21E-12,9.21E-13,2.9," +0.24, -0.23",253," +41.4, -28.7",0.72," +0.24, -0.22",4.78E-06," +0.52, -4.78E-6",3.4," +0.26, -0.22",2.3," +0.63, -0.22",3.71E-10," +2.54E-11, -2.45E-11",8.54E-10,1.29E-10," +2.82E-11, -2.96E-11",1.47E-10,0.58," +6.45E-2, -8.24E-2",2.49E+04," +1.20E4, -8029", N/A ," , ",0.59," +0.29, -0.27", N/A ," , ",1.9," +0.14, -0.14", N/A ," , ", N/A ,1.27E-11," +1.20E-12, -1.08E-12",1.55E-11,1.1," +6.53E-2, -6.40E-2", N/A ," , ", N/A ," , ",0.55," +0.36, -0.32", N/A ," , ",1.9," +0.17, -0.16", N/A ," , ", N/A ,2.12E-13," +2.49E-14, -2.22E-14",2.52E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
60501,328.3776074,43.99848472,5.5,0, TBD , N/A , N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A , N/A ,1.1," +0.40, -0.36", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
060428B,235.35676,62.02494,1.5,1, TBD ,1.38E-02, N/A ,4.96E-02," +1.43E-2, -1.34E-2",2.8," +9.39E-2, -8.99E-2",4.86E-10," +1.73E-11, -1.68E-11",6.84E-10,5.39E-09," +1.92E-2, -5.39E-9",2," +0.12, -9.29E-2",1.51E-12," +1.04E-13, -1.16E-13",1.54E-12,2.90E-13,1.40E-13,4.6," +0.13, -0.13",657," +37.5, -35.1",4.96E-02," +1.43E-2, -1.34E-2",4.13E-07," +3.44E-2, -4.13E-7",2.8," +9.39E-2, -8.99E-2",2," +0.23, -0.18",4.86E-10," +1.73E-11, -1.68E-11",6.84E-10,4.59E-11," +7.18E-12, -6.80E-12",4.77E-11,0.93," +4.07E-2, -3.96E-2", N/A ," , ", N/A ," , ",1.01E-02," +4.05E-2, -1.01E-2", N/A ," , ",2," +0.21, -0.15", N/A ," , ", N/A ,1.36E-13," +1.54E-14, -1.53E-14",1.46E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
060428A,123.54534,-37.16996,1.4,3, TBD ,0.91, N/A ,9.37E-02," +0.34, -9.37E-2",2.9," +0.58, -0.36",4.10E-10," +7.39E-11, -7.09E-11",1.91E-09,0.47," +0.19, -0.18",1.9," +0.15, -0.15",1.36E-11," +9.06E-13, -8.44E-13",2.60E-11,4.54E-12,2.64E-12,0.17," +0.16, -0.27",2084," +1536, -919",7.58E-02," +0.33, -7.58E-2",0.18," +0.41, -0.18",2.9," +0.57, -0.33",1.5," +0.33, -0.28",4.31E-10," +7.76E-11, -7.44E-11",1.95E-09,5.39E-11," +9.26E-12, -7.85E-12",7.67E-11,0.69," +4.18E-2, -5.22E-2",1.16E+05," +3.65E4, -3.11E4", N/A ," , ",0.44," +0.19, -0.17", N/A ," , ",2," +0.15, -0.14", N/A ," , ", N/A ,6.63E-12," +4.33E-13, -4.04E-13",1.27E-11,1.2," +0.11, -9.48E-2",9.82E+05," +4.85E5, -3.01E5", N/A ," , ",0.52," +0.29, -0.26", N/A ," , ",1.9," +0.22, -0.21", N/A ," , ", N/A ,5.18E-13," +4.98E-14, -4.54E-14",9.85E-13,2.3," +0.85, -0.40", N/A ," , ", N/A ," , ",0.54," +0.96, -0.54", N/A ," , ",1.9," +0.65, -0.54", N/A ," , ", N/A ,3.16E-14," +9.26E-15, -7.24E-15",5.93E-14, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
60427,124.2671358,62.67137436,3.6,1, TBD ,4.54E-02, N/A ,0.13," +3.45E-2, -3.19E-2",2.8," +0.18, -0.16",4.11E-10," +2.70E-11, -2.54E-11",8.19E-10,9.35E-02," +5.17E-2, -4.67E-2",2.1," +0.19, -0.18",3.17E-12," +3.36E-13, -2.99E-13",4.29E-12,1.18E-13,4.38E-14,4.2," +0.30, -0.37",286," +37.8, -20.9",0.13," +3.45E-2, -3.20E-2",1.15E-02," +0.12, -1.15E-2",2.8," +0.18, -0.16",1.8," +0.47, -0.29",4.11E-10," +2.70E-11, -2.54E-11",8.20E-10,1.18E-10," +2.88E-11, -2.85E-11",1.31E-10,1.3," +6.27E-2, -7.65E-2", N/A ," , ", N/A ," , ",0.11," +5.62E-2, -5.06E-2", N/A ," , ",2.2," +0.20, -0.19", N/A ," , ", N/A ,1.72E-12," +1.88E-13, -1.67E-13",2.42E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
60421,343.63706,62.73132,1.9,0, TBD ,1, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,0.79," +0.82, -0.66",1.5," +0.47, -0.43",1.15E-12," +2.44E-13, -2.00E-13",1.74E-12,2.23E-13,9.15E-14,1.1," +4.76E-2, -4.73E-2", N/A ," , ", N/A ," , ",0.79," +0.82, -0.66", N/A ," , ",1.5," +0.47, -0.43", N/A ," , ", N/A ,1.15E-12," , ",1.74E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
60418,236.42754,-3.63896,1.4,4, TBD ,0.16,1.49,0.56," +9.55E-2, -9.16E-2",2.1," +3.73E-2, -3.67E-2",1.06E-09," +2.33E-11, -2.28E-11",1.58E-09,0.26," +0.42, -0.26",1.9," +0.15, -0.14",1.88E-11," +1.87E-12, -1.69E-12",2.44E-11,5.13E-13,1.55E-13,5.3," +1.4, -1.1",114," +2.6, -3.0",2," +0.29, -0.27", N/A ," , ",2.8," +0.10, -9.78E-2", N/A ," , ",3.61E-09," +1.54E-10, -1.48E-10",1.01E-08, N/A ," , ", N/A ,-1.5," +2.7, -1.33E-3",139," +49.2, -4.7",0.87," +0.36, -0.33", N/A ," , ",1.7," +9.45E-2, -8.95E-2", N/A ," , ",1.21E-08," +7.51E-10, -7.18E-10",1.53E-08, N/A ," , ", N/A ,2.8," +0.16, -0.15",332," +15.3, -12.6",0.46," +0.12, -0.11", N/A ," , ",2.2," +5.14E-2, -4.99E-2", N/A ," , ",1.30E-09," +3.79E-11, -3.68E-11",1.99E-09, N/A ," , ", N/A ,1," +0.14, -0.13",1659," +1114, -534",0.19," +0.23, -0.19",0.4," +0.59, -0.40",2," +9.96E-2, -9.56E-2",1.9," +0.21, -0.20",2.29E-10," +1.45E-11, -1.37E-11",3.05E-10,1.49E-10," +2.13E-11, -1.83E-11",1.99E-10,1.5," +8.48E-2, -7.04E-2", N/A ," , ", N/A ," , ",2.1," +2.4, -1.4", N/A ," , ",2.1," +0.36, -0.29", N/A ," , ", N/A ,1.47E-13," +2.61E-14, -2.32E-14",2.46E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
60413,291.28266,13.75848,1.4,3, TBD ,1.2, N/A ,2.6," +0.26, -0.25",1.9," +0.11, -0.10",2.26E-09," +7.91E-11, -7.64E-11",5.52E-09,2.3," +0.35, -0.33",1.5," +0.13, -0.13",3.00E-11," +1.38E-12, -1.31E-12",5.05E-11,5.87E-12,6.37E-13,1.3," +0.32, -0.37",165," +6.6, -5.5",3.3," +0.43, -0.41", N/A ," , ",2," +0.16, -0.15", N/A ," , ",4.96E-09," +2.49E-10, -2.36E-10",1.28E-08, N/A ," , ", N/A ,3.4," +0.16, -0.15",672," +70.6, -62.5",2.3," +0.34, -0.32",1.8," +0.90, -0.78",2," +0.15, -0.15",1.8," +0.39, -0.37",1.37E-09," +6.92E-11, -6.59E-11",3.55E-09,2.52E-10," +3.68E-11, -3.15E-11",4.96E-10,0.11," +9.24E-2, -9.18E-2",2.35E+04," +970, -766", N/A ," , ",2.5," +0.43, -0.41", N/A ," , ",1.5," +0.16, -0.15", N/A ," , ", N/A ,3.42E-11," +1.83E-12, -1.73E-12",6.08E-11,2.8," +0.16, -0.13", N/A ," , ", N/A ," , ",3," +1.1, -0.91", N/A ," , ",1.6," +0.33, -0.31", N/A ," , ", N/A ,8.59E-13," +9.15E-14, -8.28E-14",1.62E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
